type,text
spam,"*208* Transaction number R*17811178,1102,662166* to recharge *50* TAKA from 1020628040 is successful and valid till *19,10,12* To get offers dial *980*"
spam,"For lowest rate minute bundle dial *1*, for attractive data packs dial *9* , dial *987* to know your best offers"
spam,"You have got *2*p/sec call rate for next *21* days, Please recharge Tk *21* again to continue the offer"
spam,"Bangladesh Team preparing hard for Test series against SriLanka, Just Dial *17777* and receive Cricket Updates and News without Internet"
ham,"Lets go, hell, ya"
ham,"Hi how are you, I am harry"
ham,I love harry potter
ham,See you later
ham,"I am waiting peter, Call me once you free"
spam,Please call our customer service representative on *0800 269 7031* between *11*am to *10*pm as you have WON a guaranteed tk*999* cash or tk*500* prize
ham,"Watching bangla movie,wat about u*question*"
ham,"Thanks a lot for your wishes on my birthday, thanks you for making my birthday truly memorable"
ham,Going for breakfast.
ham,"Dear, will call online"
ham,I am staying my house now
ham,"here is my new address, Patherghata,ctg"
ham,"Well, keep it up"
ham,Do you need anything*question*
ham,"No, I know this topic"
ham,I will call you at morning
ham,I will call you at Friday
ham,Alifa is my piano teacher
ham, Please let me know if you need anything
ham,I know your sister's name
ham,"Goodbye, folks"
spam,The Message Collect service does not have a stored message relating to your response 
spam,"Due to your low Balance, Your sms has been delivered by the SMS Collect service"
spam,Do you accept charge of *51* paisa for receiving SMS from *plus* *8801687448501**question* Reply with Y or N
spam,"Thank you for your request for Smart Zone Auto Daily at BDT *2,55* per day with auto renewal, Your one time password is RA*7272*, It will be expired in *300* seconds, Do not share OTP for security reasons"
spam,"Go to your APN settings,Profile Name , Robi MMS APN wap MMSProxy/IP*11,16,18,77* MMS Port *9028* URL  *http**10.16.18.40:38090*/was"
spam,"Go to your APN settings,Profile Name , Robi INTERNET APN INTERNET"
ham,"Goodbye, See you next time"
ham,go to the school
ham,Request the code please
ham,You are a good dancer
ham,so many pots
ham,Thank you for your gifts
ham,Go to my web site
ham,Please go to your room
ham,I need two print copies
ham,You are so young to understand my feelings
spam,"network operator, The service is free, For M and C s visit *88488*,biz"
spam,"Tk *21* have been deducted to settle your recent Jhotpot advances, Current outstanding Tk *0,5*, For Details dial *123*800*"
spam,"Dear User, To set the Song MEHER by KUSHAL n TRINI as your GOONGOON dial *8278**124*, Sub charge Tk, *9,83*slash*12* days and Tune Tk, *7,09*slash*240* days"
spam,"Dear User, To set the Song CROSSING THE RUBICON PART *2* by ANOUSHKA SHANKAR as your GOONGOON dial *8468**128*, Sub charge Tk, *8,13*slash*14* days and Tune Tk, *4,10*slash*15* days"
spam,"Dear User, To set the Song TUPTAP by ARIJIT SINGH as your GOONGOON dial *8566**131*, Sub charge Tk, *8,93*slash*7* days and Tune Tk, *6,09*slash*30* days"
spam,"Dear User, To set the Song ICCHE GULO by KONA and AKASH as your GOONGOON dial *8466**233*, Sub charge Tk, *8.93*slash*7* days and Tune Tk, *6.09*slash*30* days"
spam,"Unrecognized keyword, SHUKETU*12**@*YAHOO,COM*8880*Send CHELP to *28880* to get keyword list"
spam,"Dial *28780**3* to purchase *50* points only *@*BDT *2.55* and you can Shout, Poke, Chat easily in Circle, Enjoy Circle to communicate with friends, Circle is Fun"
spam,"Unrecognized keyword, PHYSend CHELP to *28870* to get keyword list"
spam,"You have successfully subscribed for PIANOFeed Daily at BDT*4.00* *(**plus*VAT*plus*SD*plus*SC*)*slash*2* day,Next renewal is on *27/01/19*, To unsubscribe, *http**111.118.178.98*slashvigwapslashrobiapislashunsubdotjsp*question* or type STOP and send SMS to *2178314*"
spam,*225221* is your Facebook confirmation code
ham,I know your brother
ham,Are you from Dhaka*question*
ham,Check your local files
ham,"I am your sister, manoi"
ham,Go to hell
ham,Do you have any kind of problem with Caroline
ham,I know your job location
ham,You should not be here
ham,"Good job, mithi"
ham,Lol your always so rigit
spam,"Dear Customer, To get the RINGTONE CROSSING THE RUBICON  by ANOUSHKA SHANKAR as your GOONGOON dial *8868**178*, Sub charge Tk, *10*slash*15* days and Tune Tk, *5,10*slash*21* days"
spam,"Dear User , To set the Song PIKU SARAD by PAUL as your GOONGOON dial *8488**241*, Sub charge Tk, *7,33*slash*9* days and Tune Tk, *4,09*slash*15* days"
spam,"Dear Customer, To set the Song DEORA  by COKE STUDIO BANGLA as your RINGTONE dial *8878**453*, Sub charge Tk, *8.93*slash*7* days and Tune Tk, *7.09*slash*15* days"
ham,Never loose hope
ham,I blv in you
ham,Think before you leave
